Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.7096,0.7958,0.2068,0.9352,62.19,0.0001,
2,0.2086,0.9407,0.1815,0.9333,60.84,0.0001,
3,0.1373,0.9644,0.1478,0.9463,61.03,0.0001,
4,0.0893,0.9806,0.1113,0.9611,60.98,0.0001,
5,0.0747,0.9819,0.1695,0.9481,61.20,0.0001,
6,0.0561,0.9852,0.1189,0.9593,63.12,0.0001,
7,0.0380,0.9944,0.1416,0.9519,62.81,0.0001,
8,0.0664,0.9843,0.1050,0.9648,62.93,0.0001,
9,0.0328,0.9926,0.1177,0.9611,63.43,0.0001,
10,0.0420,0.9884,0.1295,0.9537,61.87,0.0001,
11,0.0333,0.9912,0.1938,0.9389,61.11,0.0001,
12,0.0264,0.9926,0.1398,0.9611,60.66,0.0001,
13,0.0156,0.9977,0.1493,0.9519,61.79,0.0001,
14,0.0193,0.9968,0.0988,0.9648,61.20,0.0001,
15,0.0184,0.9954,0.1249,0.9556,62.43,0.0001,
16,0.0317,0.9912,0.2493,0.9130,60.98,0.0001,
