Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.4049,0.8813,0.1220,0.9636,130.80,0.0001,
2,0.1376,0.9583,0.0864,0.9753,129.29,0.0001,
3,0.0880,0.9745,0.0815,0.9741,129.30,0.0001,
4,0.0508,0.9863,0.0585,0.9827,129.01,0.0001,
5,0.0498,0.9858,0.0518,0.9870,128.92,0.0001,
6,0.0472,0.9863,0.1397,0.9562,129.10,0.0001,
7,0.0376,0.9887,0.0685,0.9802,129.02,0.0001,
8,0.0312,0.9912,0.0710,0.9778,128.86,0.0001,
9,0.0361,0.9892,0.0571,0.9840,128.57,0.0001,
10,0.0276,0.9920,0.0589,0.9821,129.29,0.0001,
11,0.0363,0.9895,0.0605,0.9796,128.89,0.0001,
12,0.0284,0.9910,0.0492,0.9852,129.00,0.0001,
13,0.0192,0.9941,0.0693,0.9802,129.74,0.0001,
14,0.0143,0.9961,0.0672,0.9784,129.52,0.0001,
15,0.0103,0.9971,0.0770,0.9753,129.56,0.0001,
16,0.0302,0.9907,0.0796,0.9747,129.76,0.0001,
