Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.3118,0.9094,0.0833,0.9756,200.05,0.0001,
2,0.1214,0.9628,0.0634,0.9826,199.73,0.0001,
3,0.0724,0.9782,0.0625,0.9785,198.03,0.0001,
4,0.0627,0.9798,0.0658,0.9800,198.73,0.0001,
5,0.0453,0.9869,0.0502,0.9815,198.41,0.0001,
6,0.0363,0.9895,0.0426,0.9867,198.82,0.0001,
7,0.0379,0.9887,0.0594,0.9811,198.69,0.0001,
8,0.0312,0.9902,0.0557,0.9837,198.87,0.0001,
9,0.0322,0.9902,0.0570,0.9837,198.16,0.0001,
10,0.0292,0.9909,0.0490,0.9844,198.71,0.0001,
11,0.0160,0.9955,0.0378,0.9874,198.38,0.0001,
12,0.0242,0.9923,0.0575,0.9807,198.20,0.0001,
13,0.0208,0.9933,0.0415,0.9863,199.08,0.0001,
14,0.0250,0.9921,0.0424,0.9848,198.56,0.0001,
15,0.0241,0.9923,0.0572,0.9811,198.97,0.0001,
16,0.0222,0.9931,0.0591,0.9807,199.13,0.0001,
