Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.2894,0.9156,0.0796,0.9775,234.16,0.0001,
2,0.1084,0.9655,0.0828,0.9750,233.26,0.0001,
3,0.0721,0.9775,0.0756,0.9762,233.41,0.0001,
4,0.0531,0.9843,0.0691,0.9756,232.80,0.0001,
5,0.0444,0.9865,0.0700,0.9762,233.40,0.0001,
6,0.0390,0.9866,0.0639,0.9796,233.10,0.0001,
7,0.0332,0.9897,0.0732,0.9728,232.91,0.0001,
8,0.0351,0.9883,0.0722,0.9784,233.22,0.0001,
9,0.0293,0.9909,0.0651,0.9769,233.72,0.0001,
10,0.0261,0.9910,0.0441,0.9849,232.77,0.0001,
11,0.0304,0.9897,0.0818,0.9762,233.70,0.0001,
12,0.0218,0.9930,0.0636,0.9796,233.54,0.0001,
13,0.0208,0.9932,0.0639,0.9799,233.18,0.0001,
14,0.0144,0.9961,0.0542,0.9821,233.20,0.0001,
15,0.0279,0.9914,0.1617,0.9525,232.96,0.0001,
16,0.0218,0.9933,0.0520,0.9830,233.53,0.0001,
