Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.2580,0.9235,0.0962,0.9704,269.30,0.0001,
2,0.0964,0.9687,0.0727,0.9759,268.16,0.0001,
3,0.0746,0.9765,0.1177,0.9603,267.34,0.0001,
4,0.0496,0.9851,0.0955,0.9651,267.97,0.0001,
5,0.0423,0.9876,0.0530,0.9833,268.58,0.0001,
6,0.0419,0.9859,0.0844,0.9765,267.87,0.0001,
7,0.0366,0.9890,0.0791,0.9720,267.34,0.0001,
8,0.0283,0.9913,0.0605,0.9820,267.75,0.0001,
9,0.0217,0.9935,0.0554,0.9812,267.77,0.0001,
10,0.0347,0.9889,0.0526,0.9823,268.27,0.0001,
11,0.0256,0.9919,0.0665,0.9804,268.17,0.0001,
12,0.0226,0.9930,0.0613,0.9817,268.25,0.0001,
13,0.0208,0.9942,0.0595,0.9807,268.70,0.0001,
14,0.0250,0.9924,0.0728,0.9788,267.97,0.0001,
15,0.0125,0.9973,0.0511,0.9820,268.07,0.0001,
16,0.0260,0.9917,0.0613,0.9817,267.80,0.0001,
