Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.2464,0.9246,0.0710,0.9751,336.53,0.0001,
2,0.0937,0.9707,0.0562,0.9811,336.39,0.0001,
3,0.0642,0.9807,0.0598,0.9788,337.27,0.0001,
4,0.0519,0.9845,0.0580,0.9813,337.73,0.0001,
5,0.0456,0.9848,0.1436,0.9553,337.28,0.0001,
6,0.0402,0.9871,0.0529,0.9807,337.49,0.0001,
7,0.0335,0.9890,0.0503,0.9848,337.23,0.0001,
8,0.0271,0.9919,0.0486,0.9844,337.55,0.0001,
9,0.0291,0.9908,0.0536,0.9833,337.37,0.0001,
10,0.0266,0.9920,0.0616,0.9815,337.81,0.0001,
11,0.0261,0.9918,0.0444,0.9862,338.91,0.0001,
12,0.0235,0.9923,0.0632,0.9823,337.97,0.0001,
13,0.0252,0.9916,0.0440,0.9842,337.82,0.0001,
14,0.0152,0.9956,0.0546,0.9829,338.26,0.0001,
15,0.0191,0.9940,0.0838,0.9735,337.93,0.0001,
16,0.0195,0.9937,0.0638,0.9794,337.98,0.0001,
