Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.4789,0.8676,0.1446,0.9528,97.24,0.0001,
2,0.1671,0.9493,0.0781,0.9778,98.24,0.0001,
3,0.0940,0.9748,0.0669,0.9787,96.15,0.0001,
4,0.0606,0.9845,0.0821,0.9722,96.31,0.0001,
5,0.0577,0.9845,0.1022,0.9657,95.51,0.0001,
6,0.0630,0.9803,0.0624,0.9824,98.51,0.0001,
7,0.0289,0.9935,0.0471,0.9843,96.83,0.0001,
8,0.0237,0.9942,0.0516,0.9880,107.11,0.0001,
9,0.0326,0.9921,0.0453,0.9824,98.92,0.0001,
10,0.0303,0.9919,0.1448,0.9565,95.34,0.0001,
11,0.0300,0.9926,0.0959,0.9722,94.57,0.0001,
12,0.0224,0.9935,0.0744,0.9769,95.07,0.0001,
13,0.0340,0.9884,0.1681,0.9491,95.11,0.0001,
14,0.0316,0.9898,0.0787,0.9704,96.42,0.0001,
15,0.0176,0.9949,0.0452,0.9852,98.42,0.0001,
16,0.0187,0.9933,0.0685,0.9833,94.21,0.0001,
