Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc, Epoch_Time_Sec, Learning_Rate
1,0.2522,0.9258,0.0847,0.9766,302.83,0.0001,
2,0.0930,0.9719,0.0665,0.9771,302.42,0.0001,
3,0.0688,0.9785,0.0762,0.9750,302.70,0.0001,
4,0.0502,0.9854,0.0792,0.9752,302.72,0.0001,
5,0.0462,0.9854,0.0636,0.9796,301.95,0.0001,
6,0.0384,0.9881,0.0878,0.9715,301.52,0.0001,
7,0.0276,0.9917,0.0695,0.9817,302.23,0.0001,
8,0.0375,0.9881,0.0554,0.9831,302.82,0.0001,
9,0.0254,0.9922,0.0775,0.9764,302.05,0.0001,
10,0.0260,0.9916,0.0607,0.9833,301.87,0.0001,
11,0.0243,0.9921,0.0818,0.9743,302.49,0.0001,
12,0.0219,0.9931,0.0609,0.9799,302.77,0.0001,
13,0.0248,0.9922,0.0623,0.9831,302.27,0.0001,
14,0.0203,0.9943,0.0516,0.9831,302.06,0.0001,
15,0.0158,0.9951,0.0708,0.9773,301.67,0.0001,
16,0.0150,0.9954,0.0696,0.9787,302.66,0.0001,
